"","Univers","n"
"478","федеральное государственное бюджетное учреждение науки Институт общей и неорганической химии им. Н.С. Курнакова Российской академии наук",51
"479","федеральное государственное бюджетное учреждение науки Институт общей и экспериментальной биологии Сибирского отделения Российской академии наук",1
"480","федеральное государственное бюджетное учреждение науки Институт общей физики им. А.М. Прохорова Российской академии наук",36
"481","Федеральное государственное бюджетное учреждение науки Институт общей физики им. А.М. Прохорова Российской академии наук",14
"482","Федеральное государственное бюджетное учреждение науки Институт океанологии им. П.П. Ширшова Российской академии наук",37
"483","федеральное государственное бюджетное учреждение науки Институт оптики атмосферы им. В.Е. Зуева Сибирского отделения Российской академии наук",25
"484","федеральное государственное бюджетное учреждение науки Институт органического синтеза им. И.Я.Постовского Уральского отделения Российской академии наук",13
"485","Федеральное государственное бюджетное учреждение науки Институт органической химии им. Н.Д. Зелинского Российской академии наук",59
"486","Федеральное государственное бюджетное учреждение науки Институт прикладной астрономии Российской академии наук",2
"487","федеральное государственное бюджетное учреждение науки Институт прикладной математики Дальневосточного отделения Российской академии наук",2
"488","федеральное государственное бюджетное учреждение науки Институт прикладной механики Российской академии наук",1
"489","Федеральное государственное бюджетное учреждение науки Институт проблем безопасного развития атомной энергетики Российской академии наук",4
"490","Федеральное государственное бюджетное учреждение науки Институт проблем комплексного освоения недр им академика Н.В. Мельникова Российской академии наук",8
"491","федеральное государственное бюджетное учреждение науки Институт проблем машиноведения Российской академии наук",20
"492","Федеральное государственное бюджетное учреждение науки Институт проблем механики им. А.Ю. Ишлинского Российской академии наук",32
"493","Федеральное государственное бюджетное учреждение науки Институт проблем морских технологий Дальневосточного отделения Российской академии наук",1
"494","федеральное государственное бюджетное учреждение науки Институт проблем нефти и газа Cибирского отделения Российской академии наук",7
"495","Федеральное государственное бюджетное учреждение науки Институт проблем передачи информации им. А.А. Харкевича Российской академии наук",17
"496","федеральное государственное бюджетное учреждение науки Институт проблем переработки углеводородов Сибирского отделения Российской академии наук",3
"497","федеральное государственное бюджетное учреждение науки Институт проблем проектирования в микроэлектронике Российской академии наук",2
"498","федеральное государственное бюджетное учреждение науки Институт проблем рынка Российской академии наук (ИПР РАН)",1
"499","Федеральное государственное бюджетное учреждение науки Институт проблем сверхпластичности металлов Российской академии наук",10
"500","федеральное государственное бюджетное учреждение науки Институт проблем технологии микроэлектроники и особочистых материалов Российской академии наук",2
"501","Федеральное государственное бюджетное учреждение науки Институт проблем точной механики и управления Российской академии наук",2
"502","федеральное государственное бюджетное учреждение науки Институт проблем управления им. В. А. Трапезникова Российской академии наук",12
"503","Федеральное государственное бюджетное учреждение науки Институт проблем химико-энергетических технологий Сибирского отделения Российской академии наук",2
"504","Федеральное государственное бюджетное учреждение науки Институт проблем химической физики Российской академии наук",25
"505","федеральное государственное бюджетное учреждение науки Институт проблем экологии и эволюции им. А.Н. Северцова Российской академии наук",34
"506","Федеральное государственное бюджетное учреждение науки Институт программных систем им. А.К. Айламазяна Российской академии наук",1
"507","федеральное государственное бюджетное учреждение науки Институт промышленной экологии Уральского отделения Российской академии наук",2
"508","федеральное государственное бюджетное учреждение науки Институт психологии Российской академии наук",10
"509","федеральное государственное бюджетное учреждение науки Институт радиотехники и электроники им. В.А.Котельникова Российской академии наук",33
"510","Федеральное государственное бюджетное учреждение науки Институт радиотехники и электроники им. В.А.Котельникова Российской академии наук",8
"511","федеральное государственное бюджетное учреждение науки Институт русского языка им. В. В. Виноградова Российской академии наук",2
"512","Федеральное государственное бюджетное учреждение науки Институт русской литературы (Пушкинский Дом) Российской академии наук",10
"513","Федеральное государственное бюджетное учреждение науки Институт сильноточной электроники Сибирского отделения Российской академии наук",26
"514","федеральное государственное бюджетное учреждение науки Институт синтетических полимерных материалов им.Н.С.Ениколопова Российской академии наук",17
"515","федеральное государственное бюджетное учреждение науки Институт систем информатики им. А.П. Ершова Сибирского отделения Российской академии наук",1
"516","Федеральное государственное бюджетное учреждение науки Институт систем энергетики им. Л.А. Мелентьева Сибирского отделения Российской академии наук",7
"517","Федеральное государственное бюджетное учреждение науки Институт систематики и экологии животных Сибирского отделения Российской академии наук",12
"518","Федеральное государственное бюджетное учреждение науки Институт системного программирования им. В.П. Иванникова Российской академии наук",1
"519","федеральное государственное бюджетное учреждение науки Институт социально-политических исследований Российской академии наук",6
"520","Федеральное государственное бюджетное учреждение науки Институт спектроскопии Российской академии наук",12
"521","федеральное государственное бюджетное учреждение науки Институт степи Уральского отделения Российской академии наук",2
"522","Федеральное государственное бюджетное учреждение науки Институт структурной макрокинетики и проблем материаловедения им. А.Г. Мержанова Российской академии наук",6
"523","федеральное государственное бюджетное учреждение науки Институт тектоники и геофизики им. Ю.А. Косыгина Дальневосточного отделения Российской академии наук",5
"524","федеральное государственное бюджетное учреждение науки Институт теоретической и прикладной механики им. С.А. Христиановича Сибирского отделения Российской академии наук",24
"525","Федеральное государственное бюджетное учреждение науки Институт теоретической и прикладной механики им. С.А. Христиановича Сибирского отделения Российской академии наук",1
"526","Федеральное государственное бюджетное учреждение науки Институт теоретической и прикладной электродинамики Российской академии наук",1
"527","федеральное государственное бюджетное учреждение науки Институт теоретической и экспериментальной биофизики Российской академии наук",12
"528","Федеральное государственное бюджетное учреждение науки Институт теоретической физики им. Л.Д. Ландау Российской академии наук",17
"529","Федеральное государственное бюджетное учреждение науки Институт теории прогноза землетрясений и математической геофизики Российской академии наук (ИТПЗ РАН)",4
"530","Федеральное государственное бюджетное учреждение науки Институт теплофизики им. С.С. Кутателадзе Сибирского отделения Российской академии наук",61
"531","Федеральное государственное бюджетное учреждение науки Институт теплофизики Уральского отделения Российской академии наук",3
"532","федеральное государственное бюджетное учреждение науки Институт угля Сибирского отделения Российской академии наук",1
"533","Федеральное государственное бюджетное учреждение науки Институт физики атмосферы им. А.М. Обухова Российской академии наук",18
"534","федеральное государственное бюджетное учреждение науки Институт физики высоких давлений им. Л.Ф. Верещагина Российской академии наук",7
"535","федеральное государственное бюджетное учреждение науки Институт физики Земли им. О.Ю. Шмидта Российской академии наук",10
"536","Федеральное государственное бюджетное учреждение науки Институт физики металлов имени М.Н. Михеева Уральского отделения Российской академии наук",19
"537","Федеральное государственное бюджетное учреждение науки Институт физики полупроводников им. А.В. Ржанова Сибирского отделения Российской академии наук",38
"538","Федеральное государственное бюджетное учреждение науки Институт физики прочности и материаловедения Сибирского отделения Российской академии наук",28
"539","федеральное государственное бюджетное учреждение науки Институт физики твердого тела Российской академии наук",29
"540","Федеральное государственное бюджетное учреждение науки Институт физико-химических и биологических проблем почвоведения Российской академии наук",2
"541","федеральное государственное бюджетное учреждение науки Институт физиологии им. И.П. Павлова Российской академии наук",12
"542","Федеральное государственное бюджетное учреждение науки Институт физиологии растений им. К.А. Тимирязева Российской академии наук",23
"543","Федеральное государственное бюджетное учреждение науки Институт физиологически активных веществ Российской академии наук",12
"544","Федеральное государственное бюджетное учреждение науки Институт физических проблем им. П.Л. Капицы Российской академии наук",3
"545","федеральное государственное бюджетное учреждение науки Институт физического материаловедения Сибирского отделения Российской академии наук",2
"546","федеральное государственное бюджетное учреждение науки Институт физической химии и электрохимии им. А. Н. Фрумкина Российской академии наук",26
"547","Федеральное государственное бюджетное учреждение науки Институт филологии Сибирского отделения Российской академии наук",3
"548","федеральное государственное бюджетное учреждение науки Институт философии и права Сибирского отделения Российской академии наук",2
"549","Федеральное государственное бюджетное учреждение науки Институт философии Российской академии наук",10
"550","Федеральное государственное бюджетное учреждение науки Институт фундаментальных проблем биологии РАН",2
"551","федеральное государственное бюджетное учреждение науки Институт химии высокочистых веществ им. Г.Г.Девятых Российской академии наук",11
"552","Федеральное государственное бюджетное учреждение науки Институт химии Дальневосточного отделения Российской академии наук",17
"553","Федеральное государственное бюджетное учреждение науки Институт химии нефти Сибирского отделения Российской академии наук",1
"554","федеральное государственное бюджетное учреждение науки Институт химии растворов им. Г.А. Крестова Российской академии наук",13
"555","Федеральное государственное бюджетное учреждение науки Институт химии твердого тела и механохимии Сибирского отделения Российской академии наук",9
"556","Федеральное государственное бюджетное учреждение науки Институт химии твердого тела Уральского отделения Российской академии наук",16
"557","федеральное государственное бюджетное учреждение науки Институт химической биологии и фундаментальной медицины Сибирского отделения Российской академии наук",35
"558","Федеральное государственное бюджетное учреждение науки Институт химической биологии и фундаментальной медицины Сибирского отделения Российской академии наук",17
"559","федеральное государственное бюджетное учреждение науки Институт химической кинетики и горения им. В.В. Воеводского Сибирского отделения Российской академии наук",16
"560","федеральное государственное бюджетное учреждение науки Институт химической физики им. Н.Н.Семенова Российской академии наук",17
"561","Федеральное государственное бюджетное учреждение науки Институт цитологии Российской академии наук",47
"562","федеральное государственное бюджетное учреждение науки Институт эволюционной физиологии и биохимии им. И.М. Сеченова Российской академии наук",20
"563","федеральное государственное бюджетное учреждение науки Институт экологии растений и животных Уральского отделения Российской академии наук",1
"564","федеральное государственное бюджетное учреждение науки Институт экономики и организации промышленного производства Сибирского отделения Российской академии наук",2
"565","Федеральное государственное бюджетное учреждение науки Институт экономики и организации промышленного производства Сибирского отделения Российской академии наук",1
"566","федеральное государственное бюджетное учреждение науки Институт экономики Уральского отделения Российской академии наук",3
"567","Федеральное государственное бюджетное учреждение науки Институт экспериментальной минералогии имени академика Д.С .Коржинского Российской академии наук",10
"568","Федеральное государственное бюджетное учреждение науки Институт электрофизики и электроэнергетики Российской академии наук",1
"569","федеральное государственное бюджетное учреждение науки Институт электрофизики Уральского отделения Российской академии наук",5
"570","Федеральное государственное бюджетное учреждение науки Институт электрофизики Уральского отделения Российской академии наук",3
"571","федеральное государственное бюджетное учреждение науки Институт элементоорганических соединений им. А.Н.Несмеянова Российской академии наук",67
"572","Федеральное государственное бюджетное учреждение науки Институт энергетических исследований Российской академии наук",2
"573","федеральное государственное бюджетное учреждение науки Институт энергетических проблем химической физики им. В.Л. Тальрозе Российской академии наук",4
"574","Федеральное государственное бюджетное учреждение науки Институт ядерной физики им. Г.И. Будкера Сибирского отделения Российской академии наук",16
"575","федеральное государственное бюджетное учреждение науки Институт ядерных исследований Российской академии наук",20
"576","федеральное государственное бюджетное учреждение науки Институт языкознания Российской академии наук",15
"577","федеральное государственное бюджетное учреждение науки Иркутский институт химии им. А.Е.Фаворского Сибирского отделения Российской академии наук",10
"578","федеральное государственное бюджетное учреждение науки Лимнологический институт Сибирского отделения Российской академии наук",4
"579","Федеральное государственное бюджетное учреждение науки Математический институт им. В.А. Стеклова Российской академии наук",28
"580","федеральное государственное бюджетное учреждение науки Минералогический музей им.А.Е.Ферсмана Российской академии наук",1
"581","Федеральное государственное бюджетное учреждение науки Музей антропологии и этнографии им. Петра Великого (Кунсткамера) Российской академии наук",23
"582","Федеральное государственное бюджетное учреждение науки Мурманский морской биологический институт Кольского научного центра Российской академии наук",1
"583","Федеральное государственное бюджетное учреждение науки Научно-технологический центр микроэлектроники и субмикронных гетероструктур Российской академии наук",1
"584","Федеральное государственное бюджетное учреждение науки Научно-технологический центр уникального приборостроения Российской академии наук",5
"585","Федеральное государственное бюджетное учреждение науки Научный центр волоконной оптики Российской академии наук",14
"586","федеральное государственное бюджетное учреждение науки Новосибирский институт органической химии им. Н.Н. Ворожцова Сибирского отделения Российской академии наук",26
"587","Федеральное государственное бюджетное учреждение науки Объединенный институт высоких температур Российской академии наук",45
"588","федеральное государственное бюджетное учреждение науки Ордена Дружбы народов Институт этнологии и антропологии им. Н.Н. Миклухо-Маклая Российской академии наук",8
"589","Федеральное государственное бюджетное учреждение науки Ордена Ленина и Ордена Октябрьской Революции Институт геохимии и аналитической химии им. В.И. Вернадского Российской академии наук",19
"590","Федеральное государственное бюджетное учреждение науки Ордена Трудового Красного Знамени Институт нефтехимического синтеза им. А.В.Топчиева Российской академии наук",36
"591","Федеральное государственное бюджетное учреждение науки Ордена Трудового Красного Знамени Институт солнечно-земной физики Сибирского отделения Российской академии наук",9
"592","федеральное государственное бюджетное учреждение науки Ордена Трудового Красного Знамени Институт химии силикатов им. И.В. Гребенщикова Российской академии наук",9
"593","Федеральное государственное бюджетное учреждение науки Палеонтологический институт им. А.А. Борисяка Российской академии наук",2
"594","Федеральное государственное бюджетное учреждение науки Пермский федеральный исследовательский центр Уральского отделения Российской академии наук",25
"595","Федеральное государственное бюджетное учреждение науки Самарский федеральный исследовательский центр Российской академии наук",1
"596","Федеральное государственное бюджетное учреждение науки Санкт-Петербургский институт информатики и автоматизации Российской академии наук",10
"597","федеральное государственное бюджетное учреждение науки Санкт-Петербургский институт истории Российской академии наук",2
"598","Федеральное государственное бюджетное учреждение науки Санкт-Петербургское отделение Математического института им. В. А. Стеклова Российской академии наук",13
"599","Федеральное государственное бюджетное учреждение науки Саратовский научный центр Российской академии наук",2
"600","Федеральное государственное бюджетное учреждение науки Сибирский институт физиологии и биохимии растений Сибирского отделения Российской академии наук",3
"601","Федеральное государственное бюджетное учреждение науки Сибирский федеральный научный центр агробиотехнологий Российской академии наук",1
"602","федеральное государственное бюджетное учреждение науки Специальная астрофизическая обсерватория Российской академии наук",7
"603","федеральное государственное бюджетное учреждение науки Тихоокеанский институт биоорганической химии им. Г.Б. Елякова Дальневосточного отделения Российской академии наук",6
"604","Федеральное государственное бюджетное учреждение науки Тихоокеанский институт биоорганической химии им. Г.Б. Елякова Дальневосточного отделения Российской академии наук",4
"605","федеральное государственное бюджетное учреждение науки Тихоокеанский институт географии Дальневосточного отделения Российской академии наук",2
"606","Федеральное государственное бюджетное учреждение науки Тихоокеанский океанологический институт им. В.И. Ильичева Дальневосточного отделения Российской академии наук",10
"607","Федеральное государственное бюджетное учреждение науки Томский научный центр Сибирского отделения Российской академии наук",2
"608","Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр «Кольский научный центр Российской академии наук»",7
"609","федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр &quot;Единая геофизическая служба Российской академии наук&quot;",1
"610","Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр &quot;Карельский научный центр Российской академии наук&quot;",8
"611","Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр &quot;Кольский научный центр Российской академии наук&quot;",2
"612","Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр &quot;Коми научный центр Уральского отделения Российской академии наук&quot;",7
"613","Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр &quot;Морской гидрофизический институт РАН&quot;",1
"614","Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр &quot;Якутский научный центр Сибирского отделения Российской академии наук&quot;",1
"615","Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр Карельский научный центр Российской академии наук",2
"616","Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр комплексного изучения Арктики имени академика Н.П. Лаверова Российской академии наук",3
"617","Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр Тюменский научный центр Сибирского отделения Российской академии наук",4
"618","Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр химической физики им. Н.Н. Семенова Российской академии наук",7
"619","Федеральное государственное бюджетное учреждение науки Федеральный научно-исследовательский социологический центр Российской академии наук",17
"620","Федеральное государственное бюджетное учреждение науки Федеральный научный центр &quot;Владикавказский научный центр Российской академии наук&quot;",1
"621","Федеральное государственное бюджетное учреждение науки Физико-технический институт им. А.Ф. Иоффе Российской академии наук",82
"622","Федеральное государственное бюджетное учреждение науки Физико-технический институт Уральского отделения Российской академии наук",1
"623","Федеральное государственное бюджетное учреждение науки Физико-технологический институт Российской академии наук",2
"624","федеральное государственное бюджетное учреждение науки Физический институт им.П.Н.Лебедева Российской академии наук",47
"625","Федеральное государственное бюджетное учреждение науки Центр египтологических исследований Российской академии наук",1
"626","Федеральное государственное бюджетное учреждение науки Центр информационных технологий в проектировании Pоссийской академии наук",1
"627","федеральное государственное бюджетное учреждение науки Центр исследования проблем безопасности Российской академии наук",1
"628","федеральное государственное бюджетное учреждение науки Центр по проблемам экологии и продуктивности лесов Российской академии наук",4
"629","Федеральное государственное бюджетное учреждение науки Центр теоретических проблем физико-химической фармакологии Российской академии наук",3
"630","Федеральное государственное бюджетное учреждение науки Центральный сибирский ботанический сад Сибирского отделения Российской академии наук",1
"631","Федеральное государственное бюджетное учреждение науки Центральный экономико-математический институт Российской академии наук",10
"632","федеральное государственное образовательное бюджетное учреждение высшего образования &quot;Финансовый университет при Правительстве Российской Федерации&quot;",3
"633","Федеральное государственное унитарное предприятие «Центральный научно-исследовательский институт конструкционных материалов «Прометей» имени И.В. Горынина Национального исследовательского центра «Курчатовский институт»",3
"634","федеральное государственное унитарное предприятие &quot;Всероссийский научно-исследовательский институт авиационных материалов&quot;",6
"635","Федеральное государственное унитарное предприятие &quot;Государственный научно-исследовательский институт авиационных систем&quot;",2
"636","федеральное государственное унитарное предприятие &quot;Крыловский государственный научный центр&quot;",1
"637","федеральное государственное унитарное предприятие &quot;Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики&quot;",1
"638","Федеральное государственное унитарное предприятие &quot;Российский Федеральный Ядерный Центр-Всероссийский научно-исследовательский институт технической физики имени академика Е.И.Забабахина&quot;",1
"639","федеральное государственное унитарное предприятие &quot;Центральный аэрогидродинамический институт имени профессора Н.Е. Жуковского&quot;",6
"640","федеральное государственное унитарное предприятие &quot;Центральный институт авиационного моторостроения им. П.И. Баранова&quot;",2
"641","федеральное государственное унитарное предприятие &quot;Центральный научно–исследовательский институт черной металлургии им. И.П. Бардина&quot;",6
"642","федеральное государственное учреждение &quot;Федеральный исследовательский центр &quot;Информатика и управление&quot; Российской академии наук&quot;",17
"643","Федеральное государственное учреждение &quot;Федеральный исследовательский центр &quot;Фундаментальные основы биотехнологии&quot; Российской академии наук&quot;",71
"644","Федеральное государственное учреждение &quot;Федеральный исследовательский центр Институт прикладной математики им. М.В. Келдыша Российской академии наук&quot;",45
"645","Федеральное государственное учреждение &quot;Федеральный научно-исследовательский центр &quot;Кристаллография и фотоника&quot; Российской академии наук&quot;",40
